=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
Epoch 8, Val loss: 0.1470, Val F1: 0.9551
Epoch 9, Val loss: 0.1438, Val F1: 0.9538
Epoch 10, Val loss: 0.1728, Val F1: 0.9425
Epoch 11, Val loss: 0.1525, Val F1: 0.9521
Epoch 12, Val loss: 0.1685, Val F1: 0.9498
Epoch 13, Val loss: 0.1518, Val F1: 0.9558
Epoch 14, Val loss: 0.1085, Val F1: 0.9644
Epoch 15, Val loss: 0.1354, Val F1: 0.9558
Epoch 16, Val loss: 0.1206, Val F1: 0.9616
Epoch 17, Val loss: 0.1355, Val F1: 0.9581
Epoch 18, Val loss: 0.1180, Val F1: 0.9634
Epoch 19, Val loss: 0.1369, Val F1: 0.9555
[I 2026-05-31 15:32:06,621] Trial 16 finished with value: 0.9643892061207131 and parameters: {'n_conv_blocks': 4, 'base_channels': 32, 'kernels_block_0': 'multi_3_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'single_5', 'kernels_block_3': 'single_3', 'n_fc_layers': 2, 'fc_hidden': 512, 'dropout': 0.4903281027817574, 'activation': 'relu', 'lr': 0.0003827622789447926}. Best is trial 11 with value: 0.9735454611142842.
Epoch 1, Val loss: 0.6145, Val F1: 0.7856
Epoch 2, Val loss: 0.5432, Val F1: 0.8284
[I 2026-05-31 15:32:12,070] Trial 17 pruned. 
Epoch 1, Val loss: 0.4476, Val F1: 0.8541
Epoch 2, Val loss: 0.3059, Val F1: 0.9013
Epoch 3, Val loss: 0.2251, Val F1: 0.9284
Epoch 4, Val loss: 0.2501, Val F1: 0.9229
Epoch 5, Val loss: 0.2350, Val F1: 0.9159
[I 2026-05-31 15:32:25,834] Trial 18 pruned. 
Epoch 1, Val loss: 1.2988, Val F1: 0.4320
[I 2026-05-31 15:32:29,022] Trial 19 pruned. 
Epoch 1, Val loss: 2.0263, Val F1: 0.1178
[I 2026-05-31 15:32:32,206] Trial 20 pruned. 
Epoch 1, Val loss: 0.3916, Val F1: 0.8704
Epoch 2, Val loss: 0.3072, Val F1: 0.8911
Epoch 3, Val loss: 0.2167, Val F1: 0.9276
Epoch 4, Val loss: 0.2448, Val F1: 0.9153
Epoch 5, Val loss: 0.1807, Val F1: 0.9371
Epoch 6, Val loss: 0.1902, Val F1: 0.9344
Epoch 7, Val loss: 0.1665, Val F1: 0.9458
Epoch 8, Val loss: 0.1961, Val F1: 0.9398
Epoch 9, Val loss: 0.1687, Val F1: 0.9455
Epoch 10, Val loss: 0.1309, Val F1: 0.9551
Epoch 11, Val loss: 0.1416, Val F1: 0.9499
Epoch 12, Val loss: 0.1227, Val F1: 0.9596
Epoch 13, Val loss: 0.1087, Val F1: 0.9669
Epoch 14, Val loss: 0.1266, Val F1: 0.9605
Epoch 15, Val loss: 0.1177, Val F1: 0.9595
Epoch 16, Val loss: 0.1187, Val F1: 0.9623
Epoch 17, Val loss: 0.1165, Val F1: 0.9613
Epoch 18, Val loss: 0.1004, Val F1: 0.9709
Epoch 19, Val loss: 0.1159, Val F1: 0.9632
Epoch 20, Val loss: 0.1040, Val F1: 0.9679
Epoch 21, Val loss: 0.0961, Val F1: 0.9718
Epoch 22, Val loss: 0.1093, Val F1: 0.9686
Epoch 23, Val loss: 0.1202, Val F1: 0.9647
Epoch 24, Val loss: 0.1187, Val F1: 0.9649
Epoch 25, Val loss: 0.0993, Val F1: 0.9710
Epoch 26, Val loss: 0.0959, Val F1: 0.9758
Epoch 27, Val loss: 0.1351, Val F1: 0.9637
Epoch 28, Val loss: 0.1078, Val F1: 0.9703
Epoch 29, Val loss: 0.1226, Val F1: 0.9663
Epoch 30, Val loss: 0.1130, Val F1: 0.9722
[I 2026-05-31 15:33:54,752] Trial 21 finished with value: 0.9757648393386523 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 1, 'fc_hidden': 64, 'dropout': 0.327999272896116, 'activation': 'silu', 'lr': 0.0005763173899071285}. Best is trial 21 with value: 0.9757648393386523.
Epoch 1, Val loss: 0.6359, Val F1: 0.7720
[I 2026-05-31 15:33:57,526] Trial 22 pruned. 
Epoch 1, Val loss: 0.4081, Val F1: 0.8723
Epoch 2, Val loss: 0.2988, Val F1: 0.9011
Epoch 3, Val loss: 0.2224, Val F1: 0.9304
Epoch 4, Val loss: 0.2269, Val F1: 0.9263
Epoch 5, Val loss: 0.2110, Val F1: 0.9286
[I 2026-05-31 15:34:11,208] Trial 23 pruned. 
Epoch 1, Val loss: 0.5749, Val F1: 0.8027
Epoch 2, Val loss: 0.2790, Val F1: 0.9090
Epoch 3, Val loss: 0.2130, Val F1: 0.9290
Epoch 4, Val loss: 0.2286, Val F1: 0.9264
Epoch 5, Val loss: 0.2080, Val F1: 0.9356
Epoch 6, Val loss: 0.1856, Val F1: 0.9382
Epoch 7, Val loss: 0.2131, Val F1: 0.9275
Epoch 8, Val loss: 0.1316, Val F1: 0.9574
Epoch 9, Val loss: 0.1305, Val F1: 0.9559
Epoch 10, Val loss: 0.1322, Val F1: 0.9582
Epoch 11, Val loss: 0.1162, Val F1: 0.9653
Epoch 12, Val loss: 0.1325, Val F1: 0.9573
Epoch 13, Val loss: 0.1194, Val F1: 0.9609
Epoch 14, Val loss: 0.1211, Val F1: 0.9620
